wordType,category,subcategory,set,questionFr,questionEn,correctAnswer,option1,option2,option3
Grammar,Partitive Articles,Lesson 1,1,Je veux manger ______ pain.,I want to eat some bread.,du,de la,des,le
Grammar,Partitive Articles,Lesson 1,1,Elle boit ______ eau.,She is drinking some water.,de la,du,des,le
Grammar,Partitive Articles,Lesson 1,1,Nous achetons ______ pommes.,We are buying some apples.,des,du,de la,les
Grammar,Partitive Articles,Lesson 1,1,Il prend ______ fromage.,He is having some cheese.,du,de la,des,le
Grammar,Partitive Articles,Lesson 1,1,Vous mangez ______ salade.,You are eating some salad.,de la,du,des,la
Grammar,Partitive Articles,Lesson 1,1,Elles boivent ______ jus.,They are drinking some juice.,du,de la,des,le
Grammar,Partitive Articles,Lesson 1,1,J’achète ______ tomates.,I’m buying some tomatoes.,des,du,de la,les
Grammar,Partitive Articles,Lesson 1,1,Tu veux ______ soupe?,Do you want some soup?,de la,du,des,la
Grammar,Partitive Articles,Lesson 1,1,Il mange ______ viande.,He is eating some meat.,de la,du,des,la
Grammar,Partitive Articles,Lesson 1,1,On prépare ______ riz.,We’re making some rice.,du,des,de la,le
Grammar,Partitive Articles,Lesson 1,2,Je bois ______ eau minérale.,I drink some mineral water.,de l',du,de la,des
Grammar,Partitive Articles,Lesson 1,2,Elle mange ______ orange.,She is eating some orange.,de l',du,des,la
Grammar,Partitive Articles,Lesson 1,2,Nous prenons ______ argent pour le voyage.,We are taking some money for the trip.,de l',du,de la,les
Grammar,Partitive Articles,Lesson 1,2,Il commande ______ pizza.,He orders some pizza.,de la,du,de l',des
Grammar,Partitive Articles,Lesson 1,2,Tu veux ______ chocolat?,Do you want some chocolate?,du,de la,des,le
Grammar,Partitive Articles,Lesson 1,2,Je mange ______ légumes.,I eat some vegetables.,des,de la,du,les
Grammar,Partitive Articles,Lesson 1,2,Vous avez ______ huile d’olive?,Do you have some olive oil?,de l',du,de la,des
Grammar,Partitive Articles,Lesson 1,2,Il boit ______ lait.,He drinks some milk.,du,de l',de la,le
Grammar,Partitive Articles,Lesson 1,2,Nous achetons ______ fruits au marché.,We are buying some fruit at the market.,des,du,de la,les
Grammar,Partitive Articles,Lesson 1,2,Elles prennent ______ glace.,They are having some ice cream.,de la,du,de l',les
Grammar,Partitive Articles,Lesson 1,3,Je prépare ______ soupe chaude.,I’m making some hot soup.,de la,du,des,la
Grammar,Partitive Articles,Lesson 1,3,Elle a acheté ______ oranges au supermarché.,She bought some oranges at the supermarket.,des,du,de la,les
Grammar,Partitive Articles,Lesson 1,3,Nous voulons ______ pain frais.,We want some fresh bread.,du,de la,des,le
Grammar,Partitive Articles,Lesson 1,3,Tu bois ______ eau gazeuse?,Are you drinking some sparkling water?,de l',du,de la,les
Grammar,Partitive Articles,Lesson 1,3,Il mange toujours ______ fromage le soir.,He always eats some cheese in the evening.,du,de la,des,le
Grammar,Partitive Articles,Lesson 1,3,Vous prenez ______ confiture avec vos crêpes?,Do you have some jam with your crepes?,de la,du,des,la
Grammar,Partitive Articles,Lesson 1,3,On a cuisiné ______ haricots verts.,We cooked some green beans.,des,de la,du,les
Grammar,Partitive Articles,Lesson 1,3,J’ai mis ______ huile sur la salade.,I put some oil on the salad.,de l',du,de la,les
Grammar,Partitive Articles,Lesson 1,3,Elles mangent ______ riz tous les jours.,They eat rice every day.,du,des,de la,le
Grammar,Partitive Articles,Lesson 1,3,Il achète ______ bananes pour ses enfants.,He is buying some bananas for his kids.,des,du,de la,les
Grammar,Partitive Articles,Lesson 1,4,Je veux boire ______ café chaud.,I want to drink some hot coffee.,du,de la,des,le
Grammar,Partitive Articles,Lesson 1,4,Elle prend ______ salade verte.,She is having some green salad.,de la,du,des,la
Grammar,Partitive Articles,Lesson 1,4,Nous mangeons ______ fraises en été.,We eat some strawberries in the summer.,des,de la,du,les
Grammar,Partitive Articles,Lesson 1,4,Tu as mis ______ eau dans la bouteille?,Did you put some water in the bottle?,de l',du,de la,les
Grammar,Partitive Articles,Lesson 1,4,Il boit toujours ______ lait au petit déjeuner.,He always drinks some milk at breakfast.,du,des,de la,le
Grammar,Partitive Articles,Lesson 1,4,Vous cuisinez ______ pâtes ce soir?,Are you cooking some pasta tonight?,des,du,de la,les
Grammar,Partitive Articles,Lesson 1,4,On mange ______ poisson grillé.,We are eating some grilled fish.,du,de la,des,le
Grammar,Partitive Articles,Lesson 1,4,J’achète ______ farine pour le gâteau.,I’m buying some flour for the cake.,de la,du,des,la
Grammar,Partitive Articles,Lesson 1,4,Elles ont bu ______ eau froide.,They drank some cold water.,de l',du,de la,les
Grammar,Partitive Articles,Lesson 1,4,Il commande ______ croissants à la boulangerie.,He orders some croissants at the bakery.,des,du,de la,les
